programming_id,students_id,language,problems_solved,assessments_completed,mini_project,certifications_earned,latest_project_score
203,203,Swift,1672,9,38,5,85
204,204,SQL,2005,12,19,9,60
205,205,Go,895,5,8,1,81
206,206,Swift,2743,1,26,1,64
207,207,SQL,2256,3,12,7,57
208,208,Go,724,9,2,1,63
209,209,Java,2402,5,17,0,74
210,210,C++,1092,15,2,0,76
211,211,C++,655,18,32,6,84
212,212,Java,1060,13,44,7,47
213,213,JavaScript,267,4,11,7,41
214,214,Go,428,17,17,1,37
215,215,Go,718,9,38,5,81
216,216,C++,2494,15,40,10,31
217,217,C++,1856,9,23,6,88
218,218,C++,600,13,9,8,33
219,219,JavaScript,184,6,19,1,63
220,220,C++,2556,7,22,2,51
221,221,Swift,783,4,47,1,99
222,222,C++,2680,15,12,9,51
223,223,SQL,1110,9,11,0,62
224,224,JavaScript,2568,8,46,7,88
225,225,C#,409,15,47,4,46
226,226,SQL,1106,11,33,0,73
227,227,SQL,470,2,8,9,93
228,228,Swift,1525,4,32,8,96
229,229,Rust,2610,4,21,5,81
230,230,C#,587,20,33,1,63
231,231,Rust,2099,1,26,5,35
232,232,PHP,90,10,1,0,33
233,233,C#,948,10,24,1,64
234,234,C++,2600,5,38,1,73
235,235,SQL,408,5,39,2,80
236,236,C++,2072,12,6,0,44
237,237,PHP,792,18,40,10,57
238,238,Rust,1516,4,4,7,59
239,239,Swift,2258,18,48,4,84
240,240,SQL,344,13,20,10,94
241,241,Rust,993,12,49,4,72
242,242,SQL,2237,12,37,8,80
243,243,Java,133,3,27,5,86
244,244,JavaScript,2161,11,8,8,90
245,245,Go,417,10,5,9,45
246,246,Rust,94,1,25,1,67
247,247,Java,8,12,33,5,81
248,248,C++,2004,12,14,2,64
249,249,Go,179,2,15,4,100
250,250,PHP,84,7,34,7,89
251,251,Go,176,8,26,5,44
252,252,Python,1903,5,17,10,63
253,253,Rust,1212,13,38,0,48
254,254,C#,825,1,7,8,38
255,255,JavaScript,2986,14,13,9,69
256,256,Java,959,10,40,1,66
257,257,PHP,1502,15,17,8,79
258,258,JavaScript,950,17,46,2,50
259,259,Java,106,20,38,1,92
260,260,SQL,2468,10,38,2,85
261,261,Go,2612,16,43,8,38
262,262,JavaScript,1357,16,49,9,97
263,263,Rust,1382,11,1,8,85
264,264,Java,532,3,14,7,85
265,265,Swift,2430,4,44,6,92
266,266,SQL,1527,13,12,4,76
267,267,C++,1131,14,50,0,64
268,268,Swift,2508,2,44,8,47
269,269,Go,475,6,46,4,49
270,270,Go,770,4,46,9,100
271,271,Python,2310,20,16,0,34
272,272,Go,609,9,45,3,49
273,273,C++,1423,18,8,9,87
274,274,Swift,1704,3,9,10,97
275,275,Swift,1542,16,17,7,41
276,276,Rust,1227,12,6,10,36
277,277,Java,1914,19,12,3,62
278,278,Rust,2965,12,12,7,65
279,279,Java,675,17,6,8,80
280,280,Java,1249,10,30,1,45
281,281,Java,2321,16,21,5,77
282,282,Python,1911,5,24,10,95
283,283,PHP,949,3,22,1,98
284,284,PHP,313,1,34,1,35
285,285,Python,2984,9,23,6,34
286,286,Python,790,2,4,1,68
287,287,Python,591,7,44,6,51
288,288,Swift,1549,13,11,9,42
289,289,C#,2993,17,4,3,43
290,290,Rust,728,15,26,10,98
291,291,Rust,391,4,38,5,51
292,292,C#,244,17,40,3,75
293,293,Go,997,12,12,10,81
294,294,JavaScript,914,6,23,9,38
295,295,SQL,2670,11,5,1,75
296,296,Java,2963,4,50,7,69
297,297,Java,2774,13,47,2,77
298,298,C#,2612,6,48,1,94
299,299,Go,644,9,36,2,75
300,300,Python,2724,7,43,7,67
301,301,JavaScript,483,19,46,0,54
302,302,Go,2088,14,1,8,30
303,303,PHP,159,14,25,4,52
304,304,C++,548,13,32,8,68
305,305,C++,48,13,48,9,59
306,306,Rust,2389,8,23,2,78
307,307,Swift,45,1,47,1,50
308,308,C++,247,7,40,6,90
309,309,C++,2790,14,1,1,85
310,310,C++,144,3,34,6,94
311,311,Rust,901,7,43,2,67
312,312,Rust,789,19,29,8,44
313,313,Swift,719,11,7,1,94
314,314,Python,2436,12,13,8,82
315,315,SQL,1642,14,18,4,81
316,316,Rust,218,5,31,0,30
317,317,Java,2584,1,33,0,67
318,318,C++,982,17,2,1,38
319,319,PHP,550,5,9,9,31
320,320,Python,548,17,3,1,89
321,321,Python,1513,3,39,4,100
322,322,Python,2306,13,23,9,73
323,323,Python,2255,3,8,10,92
324,324,Swift,740,11,47,3,70
325,325,Java,1582,12,19,6,51
326,326,C++,901,10,29,4,43
327,327,JavaScript,1712,14,44,4,100
328,328,Java,557,19,36,6,99
329,329,Rust,1842,2,47,3,63
330,330,PHP,1815,20,27,8,46
331,331,JavaScript,1030,11,36,2,43
332,332,PHP,592,10,22,10,63
333,333,Swift,476,18,21,0,98
334,334,Swift,2161,9,39,9,47
335,335,C#,1443,15,33,6,70
336,336,JavaScript,1823,19,29,4,94
337,337,JavaScript,2868,16,46,9,95
338,338,Rust,2906,8,1,8,49
339,339,Swift,1334,4,5,5,78
340,340,Python,2300,14,14,10,64
341,341,C#,1803,16,30,1,43
342,342,C++,1714,4,5,8,30
343,343,PHP,1672,17,13,5,64
344,344,C++,2438,10,5,4,83
345,345,JavaScript,1452,16,16,9,74
346,346,JavaScript,2527,17,42,10,60
347,347,PHP,1616,12,8,2,82
348,348,Java,2339,1,21,9,74
349,349,SQL,961,4,4,1,40
350,350,Rust,2571,3,29,3,70
351,351,Go,1023,4,32,1,48
352,352,PHP,1160,7,36,10,73
353,353,Java,2421,5,5,9,66
354,354,C++,2023,8,14,1,85
355,355,C#,1855,4,11,3,52
356,356,Python,140,16,34,9,94
357,357,Rust,975,2,22,10,60
358,358,Python,459,14,2,9,58
359,359,PHP,624,9,48,9,33
360,360,Rust,452,9,27,5,43
361,361,Swift,1183,10,15,2,96
362,362,Java,2574,7,32,6,61
363,363,PHP,1250,17,6,9,45
364,364,C++,772,2,8,5,66
365,365,Rust,1905,18,32,2,82
366,366,C#,1030,2,40,6,52
367,367,Java,689,19,35,7,94
368,368,Rust,2579,10,48,0,80
369,369,PHP,2698,17,10,5,96
370,370,C#,822,17,27,6,87
371,371,C#,1285,20,28,5,60
372,372,JavaScript,2030,7,3,9,95
373,373,Go,2294,12,8,6,49
374,374,Rust,470,4,39,9,98
375,375,C++,2680,19,27,1,43
376,376,Java,2630,14,13,6,64
377,377,C#,1519,19,45,0,69
378,378,Swift,2538,5,4,4,63
379,379,Swift,2169,1,23,7,36
380,380,C++,630,13,19,7,90
381,381,JavaScript,2732,19,37,4,72
382,382,Java,492,6,13,7,58
383,383,C#,2235,14,33,7,80
384,384,C#,2546,4,1,8,68
385,385,Go,1888,8,49,6,80
386,386,Rust,2145,4,45,7,68
387,387,JavaScript,2629,17,23,6,98
388,388,PHP,562,13,49,0,59
389,389,C#,667,15,45,3,78
390,390,SQL,1761,5,48,5,61
391,391,C#,1893,4,15,0,54
392,392,JavaScript,238,9,40,3,84
393,393,Java,662,14,5,3,79
394,394,PHP,445,18,27,7,78
395,395,Java,1010,20,42,7,41
396,396,PHP,1251,10,33,8,54
397,397,JavaScript,1442,17,35,3,60
398,398,PHP,2982,19,5,3,54
399,399,SQL,481,7,15,1,34
400,400,Go,580,12,37,2,55
401,401,C++,2180,1,9,9,66
402,402,Swift,7,17,11,3,32
403,403,Go,992,8,40,8,37
404,404,Rust,816,20,21,5,39
405,405,Go,160,2,14,10,50
406,406,C#,2119,11,6,4,97
407,407,Java,122,3,17,7,59
408,408,SQL,1584,5,1,4,54
409,409,Go,2169,20,38,3,48
410,410,Go,2045,11,17,0,31
411,411,JavaScript,2917,20,17,7,48
412,412,Java,173,20,24,9,79
413,413,SQL,77,7,36,10,49
414,414,Go,2037,12,31,6,40
415,415,C++,488,16,1,3,98
416,416,JavaScript,623,10,40,4,34
417,417,C++,2118,9,19,1,80
418,418,Python,1943,4,40,7,36
419,419,Swift,447,2,34,5,98
420,420,Java,1010,8,27,1,30
421,421,Swift,2871,9,27,8,88
422,422,Go,238,8,22,2,40
423,423,PHP,2279,10,31,4,64
424,424,Go,37,13,26,8,41
425,425,Java,779,12,6,8,86
426,426,Swift,1330,14,46,2,32
427,427,C#,78,11,40,6,69
428,428,Go,171,12,7,3,62
429,429,Rust,58,3,42,5,31
430,430,Rust,1474,17,17,2,67
431,431,C#,77,20,32,1,42
432,432,Python,1746,20,38,2,54
433,433,Java,2014,17,48,10,59
434,434,Go,939,8,25,9,41
435,435,Java,15,1,38,6,92
436,436,Python,973,15,35,0,39
437,437,C#,659,6,50,2,54
438,438,C++,1017,7,11,3,57
439,439,C++,2240,19,44,10,59
440,440,Swift,2284,11,30,8,44
441,441,C#,1968,10,3,8,41
442,442,C++,2481,1,26,5,90
443,443,Java,2267,15,10,3,52
444,444,SQL,2337,18,10,3,62
445,445,Go,2863,10,10,3,44
446,446,C++,1131,3,20,2,44
447,447,SQL,786,14,28,7,74
448,448,Python,707,14,21,1,71
449,449,Java,1072,16,39,1,66
450,450,C++,1715,20,23,6,49
451,451,C++,1076,16,30,8,61
452,452,SQL,1420,10,8,2,35
453,453,Python,1522,20,23,6,32
454,454,PHP,2080,13,4,8,40
455,455,Java,2853,18,35,3,85
456,456,Rust,484,3,4,9,69
457,457,Python,1679,19,44,3,40
458,458,Go,1429,17,23,9,51
459,459,Go,429,17,9,5,94
460,460,Go,1738,12,45,10,57
461,461,Swift,691,17,15,1,97
462,462,Python,1948,12,4,6,93
463,463,Rust,1792,2,17,5,32
464,464,SQL,1139,6,25,7,51
465,465,Swift,299,9,33,2,31
466,466,JavaScript,1900,20,40,1,58
467,467,JavaScript,1902,20,5,7,54
468,468,PHP,176,6,11,0,57
469,469,Rust,1293,10,4,4,90
470,470,SQL,1776,11,11,4,33
471,471,PHP,565,7,15,1,72
472,472,Swift,2027,1,30,1,95
473,473,C#,2058,18,8,4,67
474,474,SQL,1775,5,14,4,99
475,475,Java,2506,20,47,0,63
476,476,Java,1277,12,43,5,39
477,477,PHP,364,17,48,7,64
478,478,C++,2168,17,3,5,86
479,479,PHP,1506,7,38,8,79
480,480,C++,2936,11,18,10,67
481,481,SQL,1801,12,3,9,35
482,482,Go,1162,8,27,8,33
483,483,Go,1918,19,3,3,60
484,484,Go,1656,18,24,4,61
485,485,Java,2274,19,42,9,48
486,486,C++,1470,6,32,6,72
487,487,C#,2668,20,37,4,97
488,488,Rust,204,3,11,10,77
489,489,JavaScript,666,3,39,1,60
490,490,Rust,167,19,49,9,77
491,491,C++,1008,3,38,5,97
492,492,C#,301,2,36,4,43
493,493,Rust,1308,12,15,4,76
494,494,SQL,2278,3,41,5,100
495,495,PHP,1494,6,25,9,58
496,496,SQL,2719,7,15,6,93
497,497,C#,410,9,19,0,47
498,498,Swift,2027,16,37,8,46
499,499,Rust,543,6,40,1,83
500,500,C++,2040,5,20,1,34
